no,name,mmsi,region,type
1,ANGSA BANK,995330984,Wilayah Tengah,Beacon
2,ARANG - ARANG,995330993,Wilayah Tengah,Beacon
3,BAMBEK,995330994,Wilayah Tengah,Beacon
4,BATU PENYU,995330985,Wilayah Tengah,Beacon
5,EAST BREAKWATER HEAD,995330999,Wilayah Tengah,Beacon
6,JIMAH,995330998,Wilayah Tengah,Beacon
7,KUALA UMBAI,995331122,Wilayah Tengah,Beacon
8,NO. 17 ( PORT KLANG ),995330987,Wilayah Tengah,Beacon
9,NO. 20A ( PORT KLANG ),995330988,Wilayah Tengah,Beacon
10,NO. 25 ( PORT KLANG ),995330989,Wilayah Tengah,Beacon
11,NO. 16 ( PORT KLANG ),995330986,Wilayah Tengah,Beacon
12,NO. 19A ( PORT KLANG ),995331036,Wilayah Tengah,Beacon
13,NO. 24 SG LANG (PORT KLANG),995331063,Wilayah Tengah,Beacon
14,NO. 28 ( PORT KLANG ),995331120,Wilayah Tengah,Beacon
15,ONE FATHOM BANK NORTH,995331130,Wilayah Tengah,Beacon
16,PULAU TERUMBU,995330997,Wilayah Tengah,Beacon
17,SEPANG INNER,995330995,Wilayah Tengah,Beacon
18,SEPANG OUTER,995330996,Wilayah Tengah,Beacon
19,TG. BRUAS,995331001,Wilayah Tengah,Beacon
20,TG. GABANG,995330992,Wilayah Tengah,Beacon
21,TG. HARAPAN,995330983,Wilayah Tengah,Beacon
22,TG. MAHANG FRONT,995330981,Wilayah Tengah,Beacon
23,TG. MAHANG REAR,995330982,Wilayah Tengah,Beacon
24,TG. RHU,995331161,Wilayah Tengah,Beacon
1,BATUAN MURAU,995331021,Wilayah Selatan,Beacon
2,BATUAN SAKIT MATA,995331024,Wilayah Selatan,Beacon
3,BATUAN TIKUS,995331025,Wilayah Selatan,Beacon
4,DAWES ROCK,995331015,Wilayah Selatan,Beacon
5,KARANG SI AJAR,995331020,Wilayah Selatan,Beacon
6,KUALA BENUT,995331126,Wilayah Selatan,Beacon
7,KUALA MUAR 1G,995331002,Wilayah Selatan,Beacon
8,KUALA MUAR 2R,995331003,Wilayah Selatan,Beacon
9,KUALA SG AYAM,995331125,Wilayah Selatan,Beacon
10,KUALA SG RENGIT,995331123,Wilayah Selatan,Beacon
11,KUKUP INNER,995331010,Wilayah Selatan,Beacon
12,KUKUP OUTER,995331011,Wilayah Selatan,Beacon
13,MALANG BERENDAM,995331019,Wilayah Selatan,Beacon
14,MERSING INNER,995331022,Wilayah Selatan,Beacon
15,MERSING OUTER,995331018,Wilayah Selatan,Beacon
16,MUDAH SELATAN,995331006,Wilayah Selatan,Beacon
17,MUDAH UTARA,995331007,Wilayah Selatan,Beacon
18,PANJANG SELATAN,995331009,Wilayah Selatan,Beacon
19,PANJANG UTARA,995331008,Wilayah Selatan,Beacon
20,PARIT JAWA,995331147,Wilayah Selatan,Beacon
21,PENGKALAN PENGHULU,995331145,Wilayah Selatan,Beacon
22,PONTIAN BESAR,995331124,Wilayah Selatan,Beacon
23,PTP SECTOR LIGHT,995331013,Wilayah Selatan,Beacon
24,PULAU ACHI,995331028,Wilayah Selatan,Beacon
25,PULAU HARIMAU,995331026,Wilayah Selatan,Beacon
26,PULAU LANG,995331027,Wilayah Selatan,Beacon
27,PULAU MERAMBONG,995331014,Wilayah Selatan,Beacon
28,PULAU MUNGGING,995331017,Wilayah Selatan,Beacon
29,PULAU SIALU,995331004,Wilayah Selatan,Beacon
30,PULAU STINDAN,995331023,Wilayah Selatan,Beacon
31,TG. PIAI,995331012,Wilayah Selatan,Beacon
32,TG. TOHOR,995331005,Wilayah Selatan,Beacon
33,TOMPOK UTARA,995331016,Wilayah Selatan,Beacon
1,BATU RUSA,995331074,Wilayah Timur,Beacon
2,BUKIT PEJAJAT,995331045,Wilayah Timur,Beacon
3,CUKAI NO. 2,995331044,Wilayah Timur,Beacon
4,K. KERTIH NORTH SIDE,995331057,Wilayah Timur,Beacon
5,K. BESUT BREAKWATER,995331133,Wilayah Timur,Beacon
6,K. PAHANG,995331136,Wilayah Timur,Beacon
7,KEMAMAN BREAKWATER N,995331042,Wilayah Timur,Beacon
8,KEMAMAN BREAKWATER S,995331060,Wilayah Timur,Beacon
9,KERTIH BREAKWATER N,995331058,Wilayah Timur,Beacon
10,KERTIH BREAKWATER S,995331059,Wilayah Timur,Beacon
11,KERTIH FRONT,995331000,Wilayah Timur,Beacon
12,KERTIH REAR,995331062,Wilayah Timur,Beacon
13,KERTIH SECTOR LIGHT 1 (SL 1),995331040,Wilayah Timur,Beacon
14,KERTIH SECTOR LIGHT 2 (SL 2),995331035,Wilayah Timur,Beacon
15,KIJAL COAST,995331135,Wilayah Timur,Beacon
16,KP SOUTH BREAKWATER,995331069,Wilayah Timur,Beacon
17,KT BREAKWATER N,995331067,Wilayah Timur,Beacon
18,KT BREAKWATER S,995331073,Wilayah Timur,Beacon
19,KUALA BARU KERTIH,995331134,Wilayah Timur,Beacon
20,KUALA ENDAU,995331029,Wilayah Timur,Beacon
21,LDG LTS FRONT,995331038,Wilayah Timur,Beacon
22,LDG LTS REAR,995331037,Wilayah Timur,Beacon
23,MARANG BREAKWATER,995331129,Wilayah Timur,Beacon
24,NENASI,995331137,Wilayah Timur,Beacon
25,P. PERHENTIAN BESAR,995331076,Wilayah Timur,Beacon
26,PULAU BATU BARA,995331071,Wilayah Timur,Beacon
27,PULAU BERHALA,995331033,Wilayah Timur,Beacon
28,PULAU CIPU,995331070,Wilayah Timur,Beacon
29,PULAU KAPAS,995331064,Wilayah Timur,Beacon
30,PULAU REDANG,995331068,Wilayah Timur,Beacon
31,PULAU TOKONG BAHARA,995331030,Wilayah Timur,Beacon
32,SEABELLE ROCK,995331072,Wilayah Timur,Beacon
33,SG KUANTAN LDG LIGHT,995331121,Wilayah Timur,Beacon
